FECHA FACT,DESCRIPCIÓN,CANT,P/UNIT,VALOR NETO
26-oct,CURVA 90º INOX 316 SCH-10 8'',1, $ 105.000 , $ 105.000 
26-oct,ANODO ZINC 10 KGS,54, $ 55.000 , $ 2.970.000 
26-oct,ANODO ZINC 5 KGS,12, $ 26.210 , $ 314.520 
26-oct,TEE INOX 304 SCH-40 2'',10, $ 8.000 , $ 80.000 
26-oct,RED CONC INOX 304 SCH-40 2x1 1/2'',7, $ 4.800 , $ 33.600 
26-oct,RED CONC INOX 304 SCH-40 3x2'',7, $ 10.500 , $ 73.500 
26-oct,CURVA 90º INOX 316 SCH-40 2'',77, $ 7.500 , $ 577.500 
30-oct,HILO POR METRO INOX M-10x1.5 mm,4, $ 6.748 , $ 26.992 
,PERSONAL DE ASEO PARA OFICINA OCTUBRE,1, $ 520.000 , $ 520.000 
26-oct,CURVA 90º INOX 316 SCH-40 2'',23, $ 7.500 , $ 172.500 
,Valv SEGURIDAD 3/4 X 3/4 APOLLO CONBRACO,1, $ 196.447 , $ 196.447 
,Valv SEGURIDAD 1 1/4 X 1 1/4 SERIE 560 AQUATROL,1, $ 248.072 , $ 248.072 
,Valv SEGURIDAD 2 X 2 SERIE 560 AQUATROL,1, $ 361.316 , $ 361.316 
,RED CONC INOX 304 SCH-40 2x1 1/2'',4, $ 4.800 , $ 19.200 
,RED CONC INOX 304 SCH-40 3x2'',4, $ 10.500 , $ 42.000 
30-oct,PERNO PARKER INOX M-6x30 mm,50, $ 202 , $ 10.100 
30-oct,PERNO HEX INOX M-5x40 mm,50, $ 118 , $ 5.900 
30-oct,PERNO HEX INOX M-10x40 mm,50, $ 437 , $ 21.850 
30-oct,PERNO HEX INOX M-8x50 mm,50, $ 286 , $ 14.300 
30-oct,PERNO HEX INOX M-8x20 mm,50, $ 172 , $ 8.600 
30-oct,PERNO HEX INOX M-6x40 mm,50, $ 143 , $ 7.150 
30-oct,PERNO HEX INOX M-6x50 mm,50, $ 168 , $ 8.400 
,PERFIL CUAD GALV 40x40x2 mm,40, $ 19.528 , $ 781.120 
,PERFIL CUAD GALV 50x50x2 mm,50, $ 24.770 , $ 1.238.500 
,PERFIL CUAD GALV 75x75x2 mm,25, $ 38.043 , $ 951.075 
,PLANCHA ALUM LISA 1100x3000x2.5 mm,5, $ 84.205 , $ 421.025 
30-oct,PERNO HEX INOX M-10x100 mm,10, $ 840 , $ 8.400 
,PERFIL CUAD GALV 25x25x2 mm,18, $ 11.497 , $ 206.946 
,PERFIL CUAD GALV 75x75x3 mm,40, $ 55.796 , $ 2.231.840 
,ANGULO GALV LAM 30x30x3 mm,50, $ 11.514 , $ 575.688 
,PERFIL CUAD GALV 100x100x3 mm,15, $ 75.747 , $ 1.136.205 
,ANGULO GALV LAM 40x40x3 mm,50, $ 15.577 , $ 778.872 
,ANGULO GALV LAM 50x50x3 mm,50, $ 20.177 , $ 1.008.865 
,Valv COMP 200 INOX 316 NPT 1/2'',76, $ 9.868 , $ 749.968 
,LO INOX 304 LAM 40x40x4 mm,30, $ 9.260 , $ 277.800 
,PL. AISI 2B 316L ACERINOX PVC 2x1000x3000 mm,1, $ 240.000 , $ 240.000 
,PL. LISA NG 1000x3000x6mm A-36,5, $ 109.440 , $ 547.200 
,COSTANERA NG 150x50x15x4 mm,2, $ 49.367 , $ 98.734 
,CANAL U NG 150x50x5 mm,2, $ 52.020 , $ 104.040 
,PLANCHA DIAM NG 3x1000x3000 mm,16, $ 60.435 , $ 966.960 
,PERFIL CUAD NG 30x30x2 mm,4, $ 8.880 , $ 35.520 
,,,, $ - 
30-oct,TUERCA HEX INOX 3/4'',52, $ 664 , $ 34.528 
30-oct,HILO POR METRO INOX 3/4'',7, $ 20.462 , $ 143.234 
30-oct,GOLILLA PLANA INOX 3/4'',52, $ 303 , $ 15.756 
30-oct,GOLILLA PRESION INOX 3/4'',26, $ 252 , $ 6.552 
30-oct,JUEGO MACHO TOTEM 12 X 1.75,1, $ 8.571 , $ 8.571 
31-oct,CURVA 90º INOX 304 SCH-10 2,100, $ 3.672 , $ 367.200 
31-oct,CURVA 90º INOX 304 SCH-10 3'',50, $ 10.658 , $ 532.900 
,Valv BOLA INOX 316 2 CC NPT 2 1/2 1000 WOG,10, $ 36.500 , $ 365.000 
2-nov,CURVA 90º INOX 304 SCH-40 2'',50, $ 5.103 , $ 255.150 
2-nov,CURVA 90º INOX 316 SCH-10 3'',1, $ 13.500 , $ 13.500 
2-nov,FLANGE DIN PN-10/PN-16 INOX 316 2'',2, $ 30.000 , $ 60.000 
2-nov,Valv GLOBO FE/INOX PN 16 C/F DIN 2'',1, $ 210.714 , $ 210.714 
,,,, $ - 
,,,, $ - 
,,,, $ - 
,,,,
,,,,
,SUBTOTALES,5.973,, $ 42.353.989 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,,,,
