Nombre del artista,Nombre del album,Nombre de singles,URL,URL imagen album
lllit,Dirt Dub,Dirt Dub (Vocal) - Orignal Mix,https://open.spotify.com/track/23d9csaD4QFMUS9Rj8QibS,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - Radio Badjay Remix,https://open.spotify.com/track/12yS3OsviwHh5RHmlIcG76,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - Bleupulp Remix,https://open.spotify.com/track/13joL9hI1NQYcEWnyp6OTP,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - Leopoldolll Remix,https://open.spotify.com/track/0ChP6HNwn769YYVJEkCfnT,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - Oldschool Dubtechno .Producer Remix,https://open.spotify.com/track/4KZJIRUmhD3fDGpaGe0OND,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - Retouched Remix,https://open.spotify.com/track/4EqtH2u87sVICFlTaWVrzV,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Dirt Dub,Dirt Dub - RE.vila Remix,https://open.spotify.com/track/5Fl5s9eThVKWwuYNIkSUB1,https://i.scdn.co/image/ab67616d0000b273e8c351cf71af27267492505d
lllit,Hiperbórea,Elemento Lunar,https://open.spotify.com/track/59ysf4XiNNvVBrPb7wpTah,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
lllit,Hiperbórea,Heródoto,https://open.spotify.com/track/3xzr6FDx4YRgks7orQpCec,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
lllit,Hiperbórea,Montes Ripeos,https://open.spotify.com/track/3WGOFSnjM1xCpTN1J19ukm,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
lllit,Hiperbórea,Septentrionales,https://open.spotify.com/track/0k801yvAS7dpI9QVMWmT3R,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
lllit,Hiperbórea,Bóreas,https://open.spotify.com/track/7t8kGbP58WXpBaVl25jCyc,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
